ID ra dec z fracDeV_r velDisp petroMag_u petroMag_g petroMag_r petroMag_i petroMag_z modelMag_u modelMag_g modelMag_r modelMag_i modelMag_z extinction_u extinction_g extinction_r extinction_i extinction_z petroRad_u petroRad_g petroRad_r petroRad_i petroRad_z petroR50_r petroR90_r
1237655107834806505 158.194805182472 56.7911744696557 0.04654936 0.952617 196.2008 18.63138 16.85307 16.00352 15.59419 15.25829 18.67033 16.75687 15.88396 15.46927 15.1006 0.0292122 0.02276195 0.01574661 0.01170142 0.008703707 5.766747 4.402154 4.051788 3.963817 3.870294 1.818018 5.324829
1237654879664865454 218.477165415638 3.71332826524454 0.02816144 0.5222739 50.36535 19.77629 17.52031 16.70895 16.34531 16.2406 18.98611 17.15692 16.36688 15.99453 15.73511 0.1592306 0.1240714 0.08583201 0.06378239 0.04744238 5.401597 7.980095 8.047208 7.801108 7.85114 3.510301 9.656219
1237654879664799897 218.465947644184 3.68500179995587 0.03299099 0.08882008 95.45889 19.82595 18.2448 17.73088 17.30575 17.27757 19.60069 18.28124 17.70488 17.3566 17.18049 0.1571514 0.1224513 0.08471127 0.06294955 0.0468229 5.821684 6.527303 6.328384 6.580623 5.869641 2.858377 6.704534
1237654879664799895 218.464276694264 3.67948579698734 0.0288087 0.9957494 209.4739 17.09982 15.20331 14.33603 13.8896 13.5935 17.11121 15.14174 14.25854 13.82395 13.51033 0.1562831 0.1217747 0.08424319 0.06260172 0.04656417 8.917992 9.89362 9.522208 10.22103 9.438396 3.893507 12.42409
1237654879654445189 194.664484174058 4.39350212307861 0.02389329 0.2066945 32.31403 17.93336 16.60599 16.06241 15.80641 15.64569 17.93738 16.57913 16.07209 15.81575 15.61468 0.1168496 0.0910484 0.06298686 0.04680599 0.03481505 4.51336 5.154149 5.24076 5.208951 5.00105 2.402972 5.866741
1237654669203931332 161.963663112312 -0.631635306454817 0.03781608 0 14.96143 19.43995 17.61995 17.26859 17.08627 17.02449 19.11404 17.54403 17.2527 17.05053 16.93129 0.1710006 0.1332425 0.09217654 0.06849705 0.05094922 5.050435 6.430326 6.263135 6.072586 6.096376 2.910129 6.662184
1237654657922498683 146.504113159337 54.4362801440367 0.04981704 0.6017603 94.51578 18.81917 17.21563 16.39939 16.04037 15.7595 18.7534 16.98472 16.18978 15.7975 15.51257 0.04612422 0.03593968 0.02486291 0.0184758 0.0137426 13.13783 5.767933 5.810765 5.475907 5.47823 2.583389 6.352221
1237654654180982883 140.391351952794 52.3279449182823 0.03898105 0.3726257 48.84841 18.42193 17.26507 16.94755 16.68661 16.72389 18.69722 17.5011 17.08479 16.83376 16.65516 0.07068304 0.05507574 0.03810114 0.02831323 0.02105984 9.337424 9.985003 8.302452 8.580323 7.828034 3.728261 9.498819
1237654653107175646 141.02573665184 51.7644078705059 0.04714013 0.349302 96.95856 18.77401 17.11913 16.3679 15.9664 15.62199 18.78001 17.15257 16.4007 15.99305 15.67265 0.05166983 0.04026078 0.02785222 0.02069719 0.0153949 6.466516 7.039172 6.733609 6.614917 6.759539 3.032305 7.760176
1237654653099180323 122.231985460906 38.8727877208217 0.04061815 0.7230332 71.14654 19.36924 17.96807 17.17044 16.78368 16.41135 19.49339 17.78103 16.98518 16.60912 16.30164 0.2027641 0.1579924 0.1092984 0.08122046 0.0604131 7.167614 4.117423 4.309543 4.20352 4.493724 1.943825 5.410821
