objID,ra,dec,z,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z
1237649961385459843,59.39992202936,-6.88646872226992,0.02813586,19.04393,18.03305,17.6638,17.39851,17.26906,19.07614,17.98567,17.61724,17.37625,17.21694
1237649961386508404,61.7693430245805,-6.56729382327455,0.0376408,18.10759,16.77875,16.27801,15.94522,15.84249,18.09435,16.83328,16.2991,15.97336,15.79478
1237649961918201992,49.8985800501471,-7.7461457171139,0.03307301,21.1885,18.38516,17.80385,17.67873,17.38155,19.79881,18.433,17.85199,17.61502,17.42263
1237649962453237994,45.6665359722051,-7.81547083576965,0.04356463,18.81162,17.72386,17.12543,16.81075,16.58765,19.11029,17.70506,17.06682,16.66498,16.38338
1237649962453500036,46.2068959573969,-7.66573518630862,0.0374852,18.56605,17.84228,17.44296,17.17882,16.86757,18.51277,17.50265,16.99715,16.66426,16.39962
1237649962989453400,44.0621164740099,-7.52487430836265,0.03118189,17.99728,16.88135,16.46403,16.24692,16.02969,18.01001,16.97385,16.55353,16.30333,16.0514
1237649962991943829,49.8667542683956,-6.84653611332601,0.03481241,18.10889,16.71813,16.23091,15.98085,15.97374,17.93963,16.64537,16.1548,15.88625,15.73353
1237649962997055748,61.4059520197644,-5.31526858259307,0.03252444,17.27115,15.58691,14.72325,14.29673,14.026,17.20734,15.42587,14.57444,14.15241,13.81756
1237649963533140099,59.5457287849323,-5.1907420267837,0.03732278,18.83658,17.24533,16.34989,15.91556,15.58114,18.92904,17.09509,16.18854,15.72922,15.39784
1237649963533926648,61.3686743519301,-4.82804775286409,0.03798645,18.25619,16.93734,16.36033,16.04661,15.86456,18.32022,16.77628,16.11244,15.74596,15.4603
1237649964065161287,48.4287646000615,-6.0837053533938,0.03125437,17.92354,16.86776,16.51709,16.31002,16.13647,17.99214,16.91294,16.49594,16.26127,16.09824
1237649964070928580,61.6844437740516,-4.44738354117887,0.03769643,18.19778,16.90937,16.39233,16.0707,15.87852,18.00649,16.86183,16.35085,16.04172,15.82114
1237650369951563933,194.874680781975,-2.89761792249609,0.04683032,18.43586,16.90276,16.13791,15.75675,15.49575,18.43021,16.75159,15.95641,15.58811,15.25807
1237650370480505104,176.789391280059,-2.53292351742521,0.04561746,18.55982,17.64296,17.35209,17.15066,16.91622,18.75885,17.64422,17.28284,17.04697,16.92714
1237650371553132672,174.231378938915,-1.74908725720266,0.04722658,17.60783,15.921,15.08781,14.70486,14.46741,17.69562,15.87965,14.98915,14.56555,14.23308
1237650371561980101,194.433596861237,-1.62872665026107,0.03508902,17.97408,17.05844,16.65679,16.39612,16.27958,18.13368,17.11408,16.72373,16.48685,16.31692
1237650372098850971,194.434326476369,-1.37612286406274,0.04704352,18.57557,17.5541,17.17243,16.87136,16.84414,18.53446,17.48998,17.08956,16.80384,16.68015
1237650760241512675,176.491143612755,-3.57823043620455,0.04793298,19.19093,17.43899,16.62753,16.25875,16.10432,18.97419,17.24381,16.44543,16.06285,15.80392
1237650760788672628,199.959463780004,-3.09078775649345,0.0225789,18.26861,17.36923,16.85011,16.64674,16.59288,18.67469,17.41148,16.86215,16.61164,16.44195
1237650761855008808,183.067885483919,-2.43068442942103,0.02523321,18.32174,17.35331,16.89974,16.69124,16.54593,18.22314,17.26253,16.83955,16.64218,16.43729
1237650795681677572,142.8314365663,-0.344420045419186,0.04726655,16.99592,15.82626,15.30139,14.99492,14.76195,17.07286,15.85194,15.28273,14.95603,14.69722
1237650797293732143,146.189719759952,0.953650130043827,0.02673383,19.51443,18.5112,17.88665,17.58198,17.70988,19.84749,18.37202,17.78007,17.47597,17.35443
1237651190284550495,133.043278386668,51.8157134144051,0.04187518,19.22663,18.01883,17.68705,17.44072,17.40796,19.19946,18.04777,17.61624,17.33529,17.20324
1237651190818340958,125.281193788141,46.8487638557519,0.03949735,17.47061,15.79734,14.98049,14.57374,14.28642,17.52786,15.6941,14.87651,14.47114,14.17232
1237651190825877693,146.195640477398,58.7974744410335,0.04146267,18.39902,17.12041,16.476,16.10378,15.75252,18.35358,16.95736,16.25436,15.86496,15.53438
1237651191354556511,123.626621222055,45.8710645742878,0.04780856,19.57738,18.31704,17.76062,17.46819,17.29833,19.31039,18.21644,17.69363,17.51861,17.18712
1237651191359209522,134.388592593268,53.9096761163376,0.04536458,17.53129,16.2971,15.7642,15.44873,15.30949,18.05321,16.42602,15.72977,15.3733,15.08378
1237651191895753002,133.035527472823,53.7000678694949,0.04967882,18.21134,17.32607,17.13405,16.89718,16.91257,18.23235,17.32624,17.13955,16.92872,16.85388
1237651191899422870,144.533802705737,59.1562094106883,0.04109455,17.61697,16.20904,15.5235,15.1581,14.96009,18.00089,16.27692,15.50848,15.12832,14.83175
1237651192427905220,121.6804039729,45.6605750776868,0.03425921,18.35771,16.93246,16.1904,15.79694,15.52773,18.23528,16.86219,16.1157,15.72244,15.42244
1237651192427905291,121.75693527442,45.7081495244063,0.04937604,17.49752,16.01211,15.25862,14.86738,14.59809,17.7345,16.12579,15.32898,14.92776,14.62046
1237651192428364000,122.679169314615,46.5483281008988,0.0315007,17.14205,15.37906,14.52576,14.09693,13.78015,17.18841,15.25,14.3921,13.96761,13.63088
