ra,dec,z,c_par,fracDeV_r,velDisp,abs_model_mag_u,abs_model_mag_g,abs_model_mag_r,abs_model_mag_i,abs_model_mag_z,abs_petro_mag_u,abs_petro_mag_g,abs_petro_mag_r,abs_petro_mag_i,abs_petro_mag_z,color_u_r,color_g_r,mu_sup,petroR50_r,petroR90_r
228.410538,2.89510655,3.69034596E-02,2.14094710,0.141270593,47.4410896,-19.2120094,-20.0608807,-20.3507671,-20.5081978,-20.6143341,-19.1884613,-20.0697708,-20.3450069,-20.5218277,-20.5486641,1.13875771,0.289886475,21.0668602,3.22787118,6.91070080
228.390488,3.29159117,4.61979210E-02,2.21692443,0.111789502,72.7741470,-17.3458328,-18.4636631,-19.0239544,-19.3590889,-19.6139107,-17.3215027,-18.4672832,-19.0391865,-19.3653793,-19.5443916,1.67812157,0.560291290,20.4909058,1.33472240,2.95897865
232.739365,2.99027801,3.76805402E-02,2.09537482,0.00000000,56.6773491,-16.5979080,-17.8673019,-18.5335083,-18.8381042,-19.1167545,-16.8013268,-17.8209019,-18.5125580,-18.8066730,-19.1048050,1.93560028,0.666206360,20.8108749,1.22989464,2.57709026
233.950729,3.37791514,4.43987399E-02,3.19802809,1.00000000,183.469696,-18.9225216,-20.8326740,-21.7084599,-22.0971870,-22.4137230,-19.0237827,-20.7219639,-21.5843697,-21.9673080,-22.2281723,2.78593826,0.875785828,20.0020504,3.40129399,10.8774328
163.509628,14.4468508,3.08725294E-02,2.88176608,0.783339977,0.00000000,-17.4416294,-17.9716263,-18.1489201,-18.2391567,-18.3584080,-17.2055893,-17.7571259,-17.9661999,-18.0774555,-18.2436790,0.707290649,0.177293777,20.2750874,0.772278607,2.22552609
203.233612,4.94694471,2.14812793E-02,2.56195426,0.196827903,44.1859894,-17.7728367,-18.9823971,-19.4025440,-19.6275139,-19.8303699,-17.9626160,-19.0622654,-19.4231243,-19.6036835,-19.8790894,1.62970734,0.420146942,21.5525455,2.74896121,7.04271317
153.308884,39.6757126,2.91056596E-02,3.04535460,0.752361715,148.648102,-18.5819092,-20.3177891,-21.0818462,-21.4441223,-21.7143497,-18.4287281,-20.1172981,-20.8892460,-21.2539940,-21.5042896,2.49993706,0.764057159,18.9847126,1.65980744,5.05470181
114.315536,31.5197124,2.69294102E-02,3.17678308,1.00000000,116.566803,-17.5380173,-19.2431545,-20.0067616,-20.3858490,-20.6721230,-17.3787575,-19.1229534,-19.8943539,-20.2737083,-20.5316734,2.46874428,0.763607025,19.7547092,1.44761276,4.59875154
126.840103,27.3733215,2.97648404E-02,2.31400990,0.207970604,28.1784000,-17.4428139,-18.5569439,-18.9672718,-19.1660957,-19.3157845,-17.6494370,-18.6649342,-19.0165730,-19.1559258,-19.1965637,1.52445793,0.410327911,21.9185219,2.63839173,6.10526419
141.071426,39.1898956,2.35937499E-02,2.66067219,0.893404782,72.2203369,-16.8401337,-18.5735760,-19.3214283,-19.6712799,-19.9533749,-16.8331528,-18.4475765,-19.2052784,-19.5501194,-19.8142662,2.48129463,0.747852325,19.3854046,0.928433537,2.47025728
29.0814571,14.9247742,2.47345399E-02,1.98108661,0.00000000,307.704987,-16.1585426,-17.1819096,-17.4898586,-17.5037842,-17.5623627,-15.3913832,-17.2202988,-17.4185982,-17.4523430,-17.7144623,1.33131599,0.307949066,23.3668785,2.44077396,4.83538437
239.906570,45.1619225,4.25843485E-02,2.77789998,1.00000000,59.2035904,-17.8308105,-19.4933205,-20.2266521,-20.5461006,-20.8081245,-17.7562008,-19.4276314,-20.1645527,-20.5071983,-20.7823029,2.39584160,0.733331680,20.6206875,2.45162606,6.81037235
237.799423,0.297335297,3.35377492E-02,2.14387155,4.58235107E-02,54.5060997,-17.8677921,-19.2209759,-19.8876286,-20.2019844,-20.4593239,-18.0370121,-19.2329445,-19.8643589,-20.1433563,-20.2893124,2.01983643,0.666652679,21.0493641,2.50533414,5.37111425
237.811417,0.293006361,3.21364701E-02,2.24761009,0.134541795,56.2311707,-18.0714073,-19.4422398,-20.1013088,-20.4098053,-20.6886673,-18.2732277,-19.4926395,-20.1005878,-20.3849239,-20.5071564,2.02990150,0.659069061,21.1276169,2.90169549,6.52187967
222.423752,-1.05776238,4.33995910E-02,3.17196703,1.00000000,136.587494,-18.2310867,-20.0202122,-20.8233337,-21.1594849,-21.4324417,-18.1764793,-19.9553699,-20.7416534,-21.0919361,-21.3689423,2.59224701,0.803121567,19.4239311,1.78928411,5.67554951
244.247437,0.480595112,4.49519716E-02,2.49951196,9.72058028E-02,82.3482132,-16.9444237,-18.6152668,-19.3072681,-19.6602898,-19.9495525,-16.9319324,-18.7250767,-19.2680473,-19.6354885,-19.6816826,2.36284447,0.692001343,22.0681210,2.87056351,7.17500782
222.414902,-5.46572991E-02,4.11828905E-02,3.03630805,1.00000000,42.6698189,-16.9517670,-18.3896122,-19.0577488,-19.3616714,-19.6062355,-17.0050278,-18.3710308,-19.0039768,-19.2989120,-19.4670753,2.10598183,0.668136597,20.4182587,1.27579880,3.87371826
162.510666,0.382512093,3.75050716E-02,2.49619579,3.38914283E-02,0.00000000,-17.6437263,-18.7294865,-19.1796818,-19.3937511,-19.5317783,-17.5057068,-18.7115955,-19.2078705,-19.4487724,-19.5093689,1.53595543,0.450195312,21.3842297,2.20634079,5.50745916
162.519516,0.351645261,3.99688892E-02,2.30600095,0.530704796,83.5579224,-16.1516724,-17.6850834,-18.4536076,-18.7951088,-19.0591965,-16.2235641,-17.7747135,-18.5060863,-18.8755188,-19.2907066,2.30193520,0.768524170,20.7875252,1.20790124,2.78542161
149.444534,0.672813416,4.66073789E-02,2.55934525,0.221133396,42.1522408,-18.0969028,-19.1877632,-19.5527420,-19.7930317,-19.8822174,-18.0050621,-19.3400841,-19.6852436,-19.8748913,-19.6410275,1.45583916,0.364978790,21.9813175,3.59889030,9.21080399
197.009918,43.1915283,3.75858098E-02,2.71916318,0.609135985,94.7873993,-17.7099895,-19.4327316,-20.2270927,-20.6921082,-20.9674492,-17.6987801,-19.2051716,-19.9934330,-20.6394577,-20.9339981,2.51710320,0.794361115,20.2169495,1.89171863,5.14389133
189.885696,1.16671360,4.58108298E-02,2.08345151,0.00000000,27.8401108,-17.9741402,-18.8635120,-19.1509094,-19.3466682,-19.4311237,-17.8936310,-18.8385830,-19.1166000,-19.3005085,-19.3484840,1.17676926,0.287397385,20.9726830,1.76668835,3.68080926
24.0979404,13.9504442,2.38549802E-02,2.85416794,0.579110801,42.5060387,-17.7641487,-18.4532223,-18.6276951,-18.6980019,-18.7930641,-17.4719086,-18.2265491,-18.4522648,-18.5332413,-18.6017342,0.863546371,0.174472809,19.9807606,0.835075676,2.38344622
183.201111,-2.72462058,3.80724594E-02,2.90405416,0.537833810,171.428802,-19.3351822,-20.9796391,-21.8141823,-22.2292442,-22.5827904,-19.1394691,-20.7753696,-21.5430737,-21.9384842,-22.2338715,2.47900009,0.834543228,20.3633251,4.09442663,11.8904371
