ID ra dec z fracDeV_r velDisp petroMag_u petroMag_g petroMag_r petroMag_i petroMag_z modelMag_u modelMag_g modelMag_r modelMag_i modelMag_z extinction_u extinction_g extinction_r extinction_i extinction_z petroRad_u petroRad_g petroRad_r petroRad_i petroRad_z petroR50_u petroR50_g petroR50_r petroR50_i petroR50_z
1237649961919971441 53.9203270042982 -7.10985523593862 0.03809099 1 151.3734 17.97259 16.0552 15.20584 14.79337 14.50853 17.89614 15.99518 15.13091 14.71268 14.37207 0.2019258 0.1573392 0.1088465 0.08088464 0.06016331 11.21385 9.605547 9.350904 9.10216 8.59391 3.601148 3.888961 3.762691 3.736005 3.449083
1237649963530649727 53.9793319557062 -5.95376579580655 0.03767181 0 27.18414 18.13959 17.08652 16.64244 16.42254 16.21783 18.08263 17.05547 16.60798 16.36546 16.17381 0.160721 0.1252327 0.08663543 0.06437942 0.04788646 4.476792 4.440816 4.557875 4.565806 4.663495 2.23115 2.25169 2.296534 2.257713 2.282464
1237649963530649830 53.9428053405689 -5.87954308782684 0.03758139 0.07090096 91.67468 18.19341 17.42274 16.83222 16.70745 17.06684 18.5302 17.35337 16.84455 16.5665 16.45929 0.153842 0.1198726 0.08292732 0.06162389 0.04583685 13.01486 11.97261 12.67714 10.3516 8.964005 6.478008 4.708502 5.116961 4.424268 2.879817
1237645943978983579 56.5178995116382 0.885067351519781 0.04860179 0.1120982 50.39074 18.73721 17.28342 16.66977 16.29751 16.12916 19.03764 17.41195 16.69575 16.31307 16.03388 0.6304467 0.4912398 0.3398374 0.2525356 0.1878401 10.13609 8.688271 6.990823 6.501146 5.694543 4.484831 3.673947 3.209785 3.091512 2.751628
1237648672922206578 245.48478876081 -0.860932062632881 0.04509151 0.01517511 126.5399 21.33389 17.90495 17.07644 19.21012 16.21511 20.0184 17.96828 17.06853 18.93844 16.13404 0.3717416 0.2896585 0.2003844 0.1489071 0.1107595 5.716224 6.870673 6.36037 3.849195 5.833169 1.11564 3.126017 2.898731 2.120973 2.722039
1237648673459667002 246.695625778243 -0.510110723913477 0.044495 0.4491696 55.45052 18.233 17.14765 16.78218 16.64267 17.03784 18.0106 16.81185 16.32209 16.03653 15.92627 0.3508416 0.2733734 0.1891184 0.1405353 0.1045324 13.7513 13.05067 11.9621 11.23271 9.140818 6.557073 5.786355 5.088657 4.362665 2.706292
1237648673994834517 242.898778778802 -0.0154619143792163 0.02424059 0.03794827 56.17028 18.35299 17.19446 16.71774 16.46398 16.48282 18.29323 17.19777 16.71038 16.43923 16.24351 0.549827 0.4284215 0.29638 0.2202421 0.1638197 9.993892 10.58284 10.20709 10.05041 8.648333 4.325713 4.578237 4.489356 4.380586 3.51846
1237648674531705268 242.89204391107 0.284318346810326 0.04449686 0 0 19.72888 17.92085 17.44097 17.15527 17.41953 19.3243 17.92082 17.45204 17.1862 17.06619 0.5826631 0.4540071 0.31408 0.2333951 0.1736031 5.699319 7.483179 7.715136 7.388216 6.715683 2.265652 3.529634 3.558139 3.639236 2.5753
1237648702983176219 221.514955296833 -1.20032134669038 0.04956391 0.1564591 28.27772 19.55493 18.28484 17.9371 17.4774 17.68246 19.54036 18.34305 17.95689 17.61706 17.5874 0.2007503 0.1564233 0.1082129 0.08041377 0.05981307 5.190517 5.466311 5.033458 5.883675 4.760542 2.294781 2.401938 2.223423 2.498642 1.946973
1237648702992482660 242.887774552592 -1.19806829816442 0.04365295 0 88.37176 19.12669 17.72348 17.19463 16.83006 16.71482 19.02875 17.6908 17.11168 16.75381 16.54076 0.5632676 0.4388943 0.3036251 0.225626 0.1678243 5.858031 5.65261 5.645023 5.693599 5.189772 2.753518 2.887442 2.743541 2.757434 2.503182
1237648703504515190 186.09893081889 -0.693032463593933 0.02526626 0.8932084 115.4353 17.84243 16.22219 15.46058 15.09309 14.82333 17.84423 16.10834 15.32447 14.94434 14.64172 0.09568749 0.07455904 0.0515796 0.03832917 0.02850986 7.067704 5.448483 5.200832 5.041061 4.777972 2.904647 2.39953 2.305613 2.235515 2.159331
1237648704061833634 232.79697547677 -0.259915129024043 0.04959126 0 74.58744 19.47541 18.33835 17.76028 17.43002 17.36729 19.5479 18.28878 17.72591 17.40469 17.19218 0.3832381 0.2986165 0.2065815 0.1535122 0.1141849 18.01871 4.867148 4.938597 5.180919 4.869651 2.601571 2.438869 2.475822 2.496569 2.223865
