  cls    ig     type   clase    smass     u         g        r         sfr      Mcoldgas  Mhotgas  Tau    OH       bt    ssfr    
  15     218935   1      IL     9.345    -15.06    -16.604   -17.448   99.0     8.659    8.53     9.762   9.325    0.0     99.0     
  16     215080   1      CL     9.07     -15.604   -16.788   -17.45    99.0     8.705    9.114    5.633   9.783    0.0     99.0     
  8      13157    0      IL     10.087   -19.183   -19.906   -20.318   0.311    10.02    10.609   3.998   10.165   0.251   -9.776   
  6      6729     0      IN     10.407   -18.433   -19.515   -20.245   0.07     9.514    11.068   4.424   10.184   0.93    -10.337  
  16     215433   1      IN     10.576   -16.19    -18.255   -19.487   99.0     99.0     11.162   6.232   13.996   0.996   99.0     
  9      17664    0      IL     9.936    -18.817   -19.573   -20.002   0.149    9.671    10.531   3.859   10.18    0.04    -9.787   
  7      35751    0      IL     9.136    -17.613   -18.387   -18.74    -0.424   9.266    10.233   2.643   9.69     0.0     -9.56    
  15     219650   1      BS     9.738    -17.853   -18.749   -19.278   -0.373   9.043    10.005   4.504   10.105   0.052   -10.111  
  10     211657   1      RI     9.209    -17.362   -18.184   -18.596   -0.566   9.334    10.104   3.197   9.757    0.0     -9.775   
  8      38059    0      IL     9.177    -17.39    -18.146   -18.53    -0.596   8.961    10.211   3.521   9.776    0.0     -9.773   
  24     27339    0      BS     9.834    -17.783   -18.796   -19.371   -0.374   9.409    10.126   4.327   10.006   0.692   -10.208  
  25     237870   1      BS     10.028   -17.175   -18.362   -19.144   -0.469   9.074    10.104   5.555   9.927    0.949   -10.497  
  14     13714    0      IL     9.874    -18.954   -19.701   -20.099   0.184    9.902    10.674   2.827   9.93     0.754   -9.69    
  21     23541    0      IN     9.637    -18.571   -19.282   -19.635   0.003    9.378    10.429   3.636   10.008   0.014   -9.634   
  4      18030    0      IN     10.113   -17.517   -18.445   -19.126   0.055    9.68     10.412   5.726   10.051   0.934   -10.058  
  2      7444     0      IL     10.437   -19.661   -20.429   -20.899   0.571    10.026   10.978   4.74    10.247   0.285   -9.866   
  30     220274   1      IL     9.399    -16.16    -17.279   -17.966   99.0     8.611    9.761    5.934   9.925    0.0     99.0     
  6      223260   1      RI     9.367    -16.952   -17.879   -18.413   -0.726   9.195    9.997    4.336   9.813    0.0     -10.093  
  27     6252     0      IL     10.67    -19.533   -20.359   -20.889   0.738    10.52    10.882   5.378   10.351   0.688   -9.932   
  28     66152    0      IL     9.036    -16.113   -17.005   -17.504   99.0     8.797    9.889    5.469   9.682    0.0     99.0     
  23     8030     0      IN     10.391   -18.898   -19.91    -20.543   0.102    9.655    10.953   4.554   10.165   0.646   -10.289  
  25     237835   1      CL     9.859    -17.283   -18.279   -18.944   -0.634   9.221    9.775    7.09    10.034   0.984   -10.493  
  24     13933    0      IN     10.021   -19.163   -19.899   -20.295   0.273    10.101   10.594   3.626   10.121   0.405   -9.748   
  24     4176     0      BS     10.874   -17.647   -19.55    -20.62    99.0     9.793    11.244   0.16    10.015   0.935   99.0     
  2      197149   1      BS     9.219    -17.012   -17.871   -18.335   -0.692   8.741    9.806    4.057   9.838    0.0     -9.911   
  10     17191    0      IL     9.815    -18.965   -19.703   -20.072   0.19     9.876    10.505   3.277   10.027   0.032   -9.625   
  11     8299     0      IL     10.286   -18.278   -19.477   -20.232   -0.251   9.943    10.853   4.139   10.129   0.944   -10.537  
  33     23587    0      IN     9.669    -18.403   -19.178   -19.578   -0.066   9.469    10.408   3.746   10.039   0.0     -9.735   
  23     21719    0      IL     9.637    -18.623   -19.362   -19.727   0.069    9.664    10.446   2.953   9.944    0.053   -9.568   
  20     5544     0      IN     10.368   -17.553   -18.826   -19.689   -0.15    9.65     11.193   5.574   9.959    0.326   -10.518  
  9      24428    0      IL     9.641    -18.31    -19.068   -19.47    -0.125   9.547    10.385   3.771   10.008   0.0     -9.766   
  22     14807    0      IN     10.052   -19.015   -19.799   -20.257   0.342    9.832    10.603   3.367   10.18    0.05    -9.71    
  14     188772   1      IL     9.26     -15.584   -16.887   -17.62    99.0     8.561    9.431    7.721   9.661    0.0     99.0     
  19     73971    0      BS     9.232    -15.987   -17.113   -17.765   99.0     8.757    9.778    6.005   9.502    0.0     99.0     
  1      39741    0      BS     9.442    -16.756   -17.778   -18.383   -0.896   9.191    9.903    4.857   9.749    0.0     -10.338  
  33     43005    0      IL     9.111    -17.328   -18.082   -18.427   -0.585   9.167    10.117   3.385   9.573    0.526   -9.696   
  8      16228    0      IL     9.803    -18.945   -19.694   -20.066   0.21     9.986    10.526   3.483   9.82     0.068   -9.593   
  5      38547    0      IN     9.062    -16.85    -17.893   -18.367   -0.826   9.23     9.644    2.776   9.629    0.0     -9.888   
  12     45383    0      IN     9.104    -17.011   -17.817   -18.223   -0.71    9.315    10.071   4.003   9.702    0.0     -9.814   
  13     13       0      CL     12.547   -20.391   -22.411   -23.665   -0.973   11.241   14.15    0.288   10.534   1.0     -13.52   
