cls   ra         dec        z    Mr01      ur    mur     kr50    C    stellarmass    sfr    ssfr     Dn4000   class   Zc   sigma     Mvir      Rvir   R200   w   dist     Pe   Ps    
  11     139.223907   47.278198   0.053   -20.14    2.476   19.474   1.47    3.514   10.433   -1.344   -11.854   1.903   -1      0.052   408.979   1.204E14   1.032   1.012   0.077   1.85    0.4     0.6    
  11     139.537598   47.689602   0.05    -20.3     2.438   20.187   2.217   2.429   10.709   0.473    -10.285   1.467   1       0.052   408.979   1.204E14   1.032   1.012   0.061   1.911   0.45    0.51   
  11     139.330399   47.762501   0.051   -19.587   2.066   20.777   2.092   2.384   10.203   -0.205   -10.454   1.457   1       0.052   408.979   1.204E14   1.032   1.012   0.165   1.636   0.06    0.9    
  11     139.075394   47.9081     0.052   -20.255   2.495   19.973   1.958   2.81    10.53    -1.378   -11.972   1.971   -1      0.052   408.979   1.204E14   1.032   1.012   0.065   1.318   0.3     0.66   
  11     139.295395   47.813801   0.05    -20.188   2.016   19.917   1.864   2.322   10.322   -0.144   -10.525   1.444   1       0.052   408.979   1.204E14   1.032   1.012   0.071   1.543   0.17    0.81   
  11     139.482605   47.5648     0.05    -21.33    2.368   18.046   1.323   3.392   10.915   -0.738   -11.701   1.888   -1      0.052   408.979   1.204E14   1.032   1.012   0.015   1.883   0.92    0.08   
  11     139.442505   47.703602   0.051   -18.775   1.631   22.322   2.925   1.937   9.435    -0.592   -10.094   1.343   2       0.052   408.979   1.204E14   1.032   1.012   0.504   1.809   0.11    0.84   
  11     139.055298   47.7742     0.05    -20.246   2.058   20.401   2.391   2.398   10.438   -0.143   -10.632   1.566   3       0.052   408.979   1.204E14   1.032   1.012   0.066   1.177   0.02    0.98   
  11     139.369202   47.784599   0.049   -19.301   1.54    20.143   1.374   2.024   9.766    -0.18    -10.003   1.281   1       0.052   408.979   1.204E14   1.032   1.012   0.243   1.64    0.17    0.79   
  1      10.8502      -9.8487     0.059   -20.439   2.461   18.758   1.226   3.014   10.61    -0.925   -11.579   1.938   -1      0.056   698.823   5.58E14    1.638   1.729   0.052   1.13    0.6     0.26   
  1      10.88        -9.8633     0.055   -19.924   1.045   21.236   3.047   2.578   9.761    0.429    -9.388    1.161   1       0.056   698.823   5.58E14    1.638   1.729   0.104   1.104   0.04    0.96   
  1      10.6837      -10.0031    0.055   -19.931   2.751   19.77    1.549   3.068   10.444   -1.536   -12.029   1.934   5       0.056   698.823   5.58E14    1.638   1.729   0.103   1.149   0.85    0.13   
  1      10.602       -9.8736     0.058   -19.905   2.49    19.479   1.332   2.75    10.389   -1.28    -11.72    1.767   -1      0.056   698.823   5.58E14    1.638   1.729   0.108   0.967   0.86    0.09   
  1      10.5301      -9.8728     0.057   -20.637   2.686   18.751   1.337   2.897   10.788   -1.294   -12.13    1.926   -1      0.056   698.823   5.58E14    1.638   1.729   0.039   0.928   0.61    0.35   
  1      10.6416      -9.9117     0.059   -21.418   2.629   19.148   2.29    3.472   11.062   -1.005   -12.113   1.964   -1      0.056   698.823   5.58E14    1.638   1.729   0.013   1.059   1.0     0.0    
  1      10.597       -9.813      0.055   -20.411   2.644   18.807   1.242   2.768   10.668   -1.293   -12.047   1.883   -1      0.056   698.823   5.58E14    1.638   1.729   0.053   0.83    0.73    0.27   
  1      10.5233      -9.7333     0.059   -19.163   2.516   20.263   1.361   2.393   10.094   -0.716   -10.849   1.521   5       0.056   698.823   5.58E14    1.638   1.729   0.302   0.726   0.17    0.77   
  1      10.3683      -9.8113     0.054   -19.397   2.381   20.437   1.654   2.377   9.977    -1.066   -11.119   1.52    -1      0.056   698.823   5.58E14    1.638   1.729   0.216   0.796   0.29    0.67   
  1      10.2963      -9.9249     0.057   -18.755   1.982   21.335   1.847   2.891   9.711    -0.761   -10.525   1.41    -1      0.056   698.823   5.58E14    1.638   1.729   0.527   1.039   0.06    0.82   
  1      10.1069      -9.8669     0.055   -19.011   2.09    21.356   2.106   2.536   9.936    -1.068   -11.056   1.629   -1      0.056   698.823   5.58E14    1.638   1.729   0.368   1.05    0.21    0.67   
