 cls ig      ra           dec       ty 
  4  40      16.64250     -15.82444  1
  4  41      17.31792     -15.81306  3
  4  42      17.05458     -15.78583  3
  4  43      16.90750     -15.76972  3
  4  44      16.90667     -15.78528  3
  4  45      16.82083     -15.81639  2
  4  46      16.67833     -15.76222  3
  4  47      16.61833     -15.80611  2
  4  48      16.60667     -15.77444  2
  4  49      16.59542     -15.77389  2
  4  50      16.54792     -15.76333  2
  4  51      16.12750     -15.76417  2
  4  52      16.91417     -15.75444  2
  4  53      16.85167     -15.75139  2
  4  54      16.79083     -15.70250  3
  4  55      16.75250     -15.71639  2
  4  56      16.58125     -15.70417  2
  4  57      16.57292     -15.70639  2
  4  58      16.46750     -15.73194  1
  4  59      16.34833     -15.70083  3
  4  60      16.60083     -15.68722  3
  4  61      16.59500     -15.67222  1
  4  62      16.59250     -15.67472  1
  4  63      16.58875     -15.66917  1
  4  64      16.58875     -15.68917  2
  4  65      16.58583     -15.67528  1
  4  66      16.56458     -15.68722  2
  4  67      16.55667     -15.66222  2
  4  68      16.51958     -15.66417  3
  4  69      16.51292     -15.66333  1
  4  70      16.50917     -15.67222  2
  4  71      16.54333     -15.63917  2
  4  72      16.49000     -15.64500  3
  4  73      16.21417     -15.66056  2
  4  74      16.79625     -15.62972  3
  4  75      16.73833     -15.62806  1
  4  76      16.66042     -15.58083  2
  4  77      16.65875     -15.63611  1
  4  78      16.61292     -15.62861  2
  4  79      16.60292     -15.60222  3
  4  80      16.45583     -15.62139  2
  4  81      16.44500     -15.60917  1
  4  82      16.99375     -15.52889  1
  4  83      16.98750     -15.52194  3
  4  84      16.71292     -15.54417  2
  4  85      16.13625     -15.56528  2
  4  86      17.34417     -15.51833  3
  4  87      17.28417     -15.47889  2
  4  88      16.14708     -15.49806  2
  4  89      15.99500     -15.47500  1
  4  90      17.33792     -15.42833  1
  4  91      16.81292     -15.40972  3
  4  92      16.41958     -15.44583  2
  4  93      16.33042     -15.39639  2
  4  94      16.26708     -15.45444  2
  4  95      16.25375     -15.42556  1
  4  96      16.99667     -15.37694  2
  4  97      16.57833     -15.37139  3
  4  98      16.55417     -15.39083  3
  4  99      17.31708     -15.29028  2
  4 100      17.26125     -15.28583  3
  4 101      17.16500     -15.31694  1
  4 102      16.50875     -15.21694  2
  4 103      16.45167     -15.13417  2
  4 104      16.20125     -15.10778  3
  4 105      16.21792     -15.04222  2
  5   1      17.32833      17.00639  3
  5   2      17.34958      17.05000  2
  5   3      17.33542      17.04528  1
  5   4      17.30250      17.03722  2
  5   5      17.26000      17.01667  1
  5   6      17.25917      17.01972  2
  5   7      17.20708      17.02083  2
  5   8      17.15542      16.98472  2
  5   9      17.13500      16.97667  2
  5  10      16.82333      17.01083  2
  5  11      16.82167      17.01333  3
  5  12      17.41333      17.09194  2
  5  13      17.38625      17.05556  3
  5  14      17.35333      17.10806  3
  5  15      17.04875      17.08750  2
  5  16      17.03500      17.15083  2
  5  17      16.86875      17.13111  3
  5  18      16.73208      17.06472  3
  5  19      17.51042      17.24000  2
  5  20      17.49667      17.23389  3
  5  21      17.31667      17.17750  2
  5  22      17.23375      17.20417  4
  5  23      17.21083      17.19361  1
  5  24      17.19292      17.18444  2
  5  25      16.95125      17.23917  3
  5  26      17.21292      17.34583  2
  5  27      17.14208      17.27583  3
  5  28      17.12083      17.32778  3
  5  29      17.11417      17.31583  2
  5  30      17.06333      17.34805  2
  5  31      16.98625      17.32972  2
  5  32      16.88875      17.27417  2
  5  33      16.81125      17.34139  2
  5  34      16.66750      17.29306  3
  5  35      17.59417      17.37167  2
  5  36      17.19167      17.41222  2
  5  37      17.13042      17.43944  3
  5  38      17.12750      17.42833  2
  5  39      17.11375      17.36333  3
  5  40      17.10583      17.38389  2
  5  41      17.10125      17.40528  1
  5  42      17.09750      17.38417  1
  5  43      17.09750      17.38722  1
  5  44      17.09500      17.39750  1
  5  45      17.09042      17.39444  1
  5  46      17.08875      17.36333  2
  5  47      17.07667      17.36139  2
  5  48      17.07708      17.37694  2
  5  49      17.07583      17.40472  1
  5  50      17.03792      17.38583  2
  5  51      17.02792      17.39889  2
  5  52      17.01375      17.41861  1
  5  53      17.00333      17.43972  3
  5  54      16.90958      17.39611  3
  5  55      17.58875      17.46056  3
  5  56      17.53667      17.45444  2
  5  57      17.27542      17.54694  3
  5  58      17.20833      17.50472  2
  5  59      16.99917      17.49444  3
  5  60      16.98333      17.50139  2
  5  61      16.90667      17.54611  2
  5  62      16.86750      17.55472  3
  5  63      17.25250      17.64639  1
  5  64      17.12083      17.58444  1
  5  65      17.09958      17.62917  2
  5  66      17.10000      17.60889  1
  5  67      17.03792      17.61333  2
  5  68      16.91875      17.64250  3
  5  69      16.75458      17.62083  2
  5  70      16.73625      17.58167  3
  5  71      17.20042      17.68222  3
  5  72      17.13375      17.73195  3
  5  73      17.11417      17.69028  3
  5  74      17.07125      17.73056  3
  5  75      17.03500      17.75333  3
  5  76      17.02667      17.72583  1
  5  77      17.12458      17.78417  2
  5  78      17.09292      17.79389  2
  5  79      17.03583      17.76167  2
  5  80      17.03125      17.87528  2
  6   1      18.16292      -0.46028  3
  6   2      18.46375      -0.39500  1
  6   3      18.44542      -0.36639  3
  6   4      18.41417      -0.36944  1
  6   5      18.37417      -0.37583  3
  6   6      18.28083      -0.40250  1
  6   7      18.25333      -0.35528  3
  6   8      18.20208      -0.42167  1
  6   9      18.15542      -0.37861  2
  6  10      18.13458      -0.37694  2
  6  11      18.05208      -0.35611  3
  6  12      17.78458      -0.36583  3
  6  13      18.42208      -0.32833  2
  6  14      18.37833      -0.27667  3
  6  15      18.22708      -0.31806  2
  6  16      18.14500      -0.31056  2
  6  17      18.09833      -0.30750  3
  6  18      18.08833      -0.30000  2
  6  19      18.05292      -0.27361  2
  6  20      18.37792      -0.24278  2
  6  21      18.35667      -0.22306  3
  6  22      18.34083      -0.18306  3
  6  23      18.33958      -0.18444  1
  6  24      18.26500      -0.22972  2
  6  25      18.24292      -0.22194  2
  6  26      18.27250      -0.15833  2
  6  27      18.21500      -0.19139  2
  6  28      18.17458      -0.17472  3
  6  29      18.11167      -0.23194  3
  6  30      18.04083      -0.17389  3
  6  31      18.59625      -0.12278  2
  6  32      18.58375      -0.10778  3
  6  33      18.32333      -0.11472  3
  6  34      18.22375      -0.07444  2
  6  35      18.21958      -0.05583  2
  6  36      18.21875      -0.04861  1
  6  37      18.18208      -0.09750  1
  6  38      18.18000      -0.07583  1
  6  39      18.17708      -0.07333  1
  6  40      18.17500      -0.04833  1
  6  41      18.09375      -0.13139  3
  6  42      18.03583      -0.12972  3
  6  43      17.98417      -0.04694  3
  6  44      17.98417      -0.05889  2
  6  45      17.94917      -0.08361  1
  6  46      17.90125      -0.06056  3
  6  47      17.90625      -0.09917  3
  6  48      17.80500      -0.06194  1
  6  49      17.72333      -0.11111  3
  6  50      18.43875      -0.00083  3
  6  51      18.30958      -0.02000  3
  6  52      18.29875      -0.02139  2
  6  53      18.29625      -0.02861  2
  6  54      18.24333       0.02833  2
  6  55      18.23833       0.03778  2
  6  56      18.23583      -0.03944  1
  6  57      18.21292       0.01944  1
  6  58      18.21042      -0.01056  3
  6  59      18.19583      -0.00306  3
  6  60      18.17667      -0.02611  3
  6  61      18.16667       0.02806  2
  6  62      18.14542       0.00333  3
  6  63      18.14458      -0.03417  3
  6  64      18.14625       0.03528  2
  6  65      18.14458       0.04111  2
  6  66      18.11833       0.00000  2
  6  67      18.11875       0.04472  2
  6  68      18.10625      -0.00306  1
  6  69      18.09333       0.02944  2
  6  70      18.08583       0.04083  1
  6  71      18.06292      -0.03222  2
  6  72      18.04250       0.02361  3
  6  73      17.80250       0.04306  3
