 logrho,rho,tipo
   1.59437740     ,   39.2986259     ,           2
   1.63784301     ,   43.4353218     ,           1
   1.25383782     ,   17.9406376     ,           2
   1.26338315     ,   18.3393173     ,           1
   1.37252808     ,   23.5791435     ,           3
   1.87520432     ,   75.0247192     ,           1
   2.07149911     ,   117.896027     ,           1
   2.01350713     ,   103.159004     ,           3
   2.13844585     ,   137.545364     ,           1
   2.01350713     ,   103.159004     ,           2
   2.01350713     ,   103.159004     ,           1
   1.96235466     ,   91.6968918     ,           1
   2.07149911     ,   117.896027     ,           1
   1.91659701     ,   82.5271912     ,           2
   1.61556661     ,   41.2635574     ,           2
   1.30381203     ,   20.1285305     ,           3
   1.20902526     ,   16.1817436     ,           2
   1.21762550     ,   16.5053768     ,           3
   1.26338315     ,   18.3393173     ,           2
   1.63784301     ,   43.4353218     ,           1
   1.63784301     ,   43.4353218     ,           2
   1.87520432     ,   75.0247192     ,           2
   1.31453586     ,   20.6317425     ,           3
  0.723466814     ,   5.29013538     ,           3
   1.43947506     ,   27.5090179     ,           2
   1.87520432     ,   75.0247192     ,           3
   1.68614793     ,   48.5453835     ,           2
   1.55486870     ,   35.8813438     ,           2
   1.61556661     ,   41.2635574     ,           2
   1.51865649     ,   33.0108337     ,           2
   1.11725450     ,   13.0994930     ,           2
  0.833807468     ,   6.82036257     ,           3
   1.16840732     ,   14.7369385     ,           2
   1.24449766     ,   17.5589161     ,           2
   1.20902526     ,   16.1817436     ,           3
  0.997516155     ,   9.94297028     ,           3
  0.871270120     ,   7.43481445     ,           3
   1.19231951     ,   15.5711060     ,           2
  0.779871523     ,   6.02381372     ,           2
   1.17623270     ,   15.0048838     ,           1
   1.10368156     ,   12.6964264     ,           2
   1.16072035     ,   14.4783945     ,           1
   1.16840732     ,   14.7369385     ,           2
   1.39808226     ,   25.0081882     ,           2
   1.41144621     ,   25.7896957     ,           2
   1.11725450     ,   13.0994930     ,           1
   1.01896727     ,   10.4464149     ,           3
  0.452693194     ,   2.83591485     ,           2
   1.13844383     ,   13.7544699     ,           1
   1.01896727     ,   10.4464149     ,           2
   1.16072035     ,   14.4783945     ,           1
   1.17623270     ,   15.0048838     ,           1
   1.20902526     ,   16.1817436     ,           1
   1.17623270     ,   15.0048838     ,           2
